State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total,state_name_raw,state_code,state_canonical,constituency_name,constituency_type,category_clean,total_recomputed,total_missing,total_diff
Andhra Pradesh-S01,Araku-ST,S01_1,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,0.0,True,
Andhra Pradesh-S01,Araku-ST,S01_1,Dates - Polling Date - 13/05/2024,,,,,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Dates - Polling Date - 13/05/2024,0.0,True,
Andhra Pradesh-S01,Araku-ST,S01_1,Dates - Counting Date - 04/06/2024,,,,,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Dates - Counting Date - 04/06/2024,0.0,True,
Andhra Pradesh-S01,Araku-ST,S01_1,"Dates - Declaration Of
Result Date - 04/06/2024",,,,,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,"Dates - Declaration Of
Result Date - 04/06/2024",0.0,True,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,0.0,True,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Result - Candidate -Winner: - Gumma Thanuja Rani,0.0,True,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Winner - Votes ,,,,477005.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Result - Winner - Votes,0.0,False,477005.0
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Party Runner-Up: - Bharatiya Janata Party,,,,,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Result - Party Runner-Up: - Bharatiya Janata Party,0.0,True,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Candidate Runner-Up: - Kothapalli Geetha,,,,426425.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Result - Candidate Runner-Up: - Kothapalli Geetha,0.0,False,426425.0
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Candidate Votes ,,,,,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Result - Candidate Votes,0.0,True,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Votes- Margin,,,,50580.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Result - Votes- Margin,0.0,False,50580.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Nominated,13.0,3.0,0.0,16.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Candidates - Nominated,16.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Nomination Rejected,1.0,2.0,0.0,3.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Candidates - Nomination Rejected,3.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Withdrawn,0.0,0.0,0.0,0.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Candidates - Withdrawn,0.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Contested,12.0,1.0,0.0,13.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Candidates - Contested,13.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Forfeited Deposit,10.0,1.0,0.0,11.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Candidates - Forfeited Deposit,11.0,False,0.0
