fragmentation_index
inf
inf
inf
inf
inf
inf
inf
2.520594362004612
inf
2.9568029459999123
2.857879372784074
3.164832851510777
2.759233980993154
2.795656072704088
inf
11.566803004061718
7.257572560123828
7.0045951514165825
