fiscal_year,state,state_size,gdp_share,unit,notes,election_year_clean,state_raw,state_canonical,gdp_share_pct
1970-71,Mizoram,Small,,gdp_share in percentage,,1970,Mizoram,Mizoram,
1970-71,Nagaland,Small,0.1,gdp_share in percentage,,1970,Nagaland,Nagaland,10.0
1970-71,Puducherry,Small,0.1,gdp_share in percentage,,1970,Puducherry,Puducherry,10.0
1970-71,Sikkim,Small,,gdp_share in percentage,,1970,Sikkim,Sikkim,
1970-71,Tripura,Small,0.2,gdp_share in percentage,,1970,Tripura,Tripura,20.0
1970-71,Andhra Pradesh,Large,7.7,gdp_share in percentage,,1970,Andhra Pradesh,Andhra Pradesh,770.0
1970-71,Bihar,Large,6.9,gdp_share in percentage,,1970,Bihar,Bihar,690.0
1970-71,Madhya Pradesh,Large,6.1,gdp_share in percentage,,1970,Madhya Pradesh,Madhya Pradesh,610.0
1970-71,Uttar Pradesh,Large,13.0,gdp_share in percentage,,1970,Uttar Pradesh,Uttar Pradesh,1300.0
1960-61,Andhra Pradesh,Large,7.7,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together,1960,Andhra Pradesh,AP-Telangana Combined,770.0
1960-61,Assam,Large,2.6,gdp_share in percentage,,1960,Assam,Assam,260.0
1960-61,Bihar,Large,7.8,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together,1960,Bihar,Bihar-Jharkhand Combined,780.0
1960-61,Chhattisgarh,Large,,gdp_share in percentage,,1960,Chhattisgarh,Chhattisgarh,
1960-61,Delhi,Large,1.4,gdp_share in percentage,,1960,Delhi,Delhi,140.0
1960-61,Gujarat,Large,5.8,gdp_share in percentage,,1960,Gujarat,Gujarat,580.0
1960-61,Haryana,Large,1.9,gdp_share in percentage,,1960,Haryana,Haryana,190.0
1960-61,Jharkhand,Large,,gdp_share in percentage,,1960,Jharkhand,Jharkhand,
1960-61,Karnataka,Large,5.4,gdp_share in percentage,,1960,Karnataka,Karnataka,540.0
1960-61,Kerala,Large,3.4,gdp_share in percentage,,1960,Kerala,Kerala,340.0
1960-61,Madhya Pradesh,Large,6.3,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together,1960,Madhya Pradesh,MP-Chhattisgarh Combined,630.0
1960-61,Maharashtra,Large,12.5,gdp_share in percentage,,1960,Maharashtra,Maharashtra,1250.0
1960-61,Odisha,Large,2.9,gdp_share in percentage,,1960,Odisha,Odisha,290.0
1960-61,Punjab,Large,3.2,gdp_share in percentage,,1960,Punjab,Punjab,320.0
1960-61,Rajasthan,Large,4.4,gdp_share in percentage,,1960,Rajasthan,Rajasthan,440.00000000000006
1960-61,Tamil Nadu,Large,8.7,gdp_share in percentage,,1960,Tamil Nadu,Tamil Nadu,869.9999999999999
1960-61,Uttar Pradesh,Large,14.4,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together,1960,Uttar Pradesh,Uttar Pradesh,1440.0
1960-61,Uttarakhand,Large,,gdp_share in percentage,,1960,Uttarakhand,Uttarakhand,
1960-61,West Bengal,Large,10.5,gdp_share in percentage,,1960,West Bengal,West Bengal,1050.0
1960-61,Andaman and Nicobar Islands,Small,,gdp_share in percentage,,1960,Andaman and Nicobar Islands,Andaman and Nicobar Islands,
1960-61,Arunachal Pradesh,Small,,gdp_share in percentage,,1960,Arunachal Pradesh,Arunachal Pradesh,
1960-61,Chandigarh,Small,,gdp_share in percentage,,1960,Chandigarh,Chandigarh,
1960-61,Goa,Small,,gdp_share in percentage,,1960,Goa,Goa,
1960-61,Himachal Pradesh,Small,,gdp_share in percentage,,1960,Himachal Pradesh,Himachal Pradesh,
1960-61,Jammu and Kashmir,Small,0.7,gdp_share in percentage,,1960,Jammu and Kashmir,Jammu and Kashmir,70.0
1960-61,Manipur,Small,0.1,gdp_share in percentage,,1960,Manipur,Manipur,10.0
1960-61,Meghalaya,Small,,gdp_share in percentage,,1960,Meghalaya,Meghalaya,
1960-61,Mizoram,Small,,gdp_share in percentage,,1960,Mizoram,Mizoram,
1960-61,Nagaland,Small,,gdp_share in percentage,,1960,Nagaland,Nagaland,
1960-61,Puducherry,Small,,gdp_share in percentage,,1960,Puducherry,Puducherry,
1960-61,Sikkim,Small,,gdp_share in percentage,,1960,Sikkim,Sikkim,
1960-61,Tripura,Small,0.2,gdp_share in percentage,,1960,Tripura,Tripura,20.0
1960-61,Andhra Pradesh,Large,7.7,gdp_share in percentage,,1960,Andhra Pradesh,Andhra Pradesh,770.0
1960-61,Bihar,Large,7.8,gdp_share in percentage,,1960,Bihar,Bihar,780.0
1960-61,Madhya Pradesh,Large,6.3,gdp_share in percentage,,1960,Madhya Pradesh,Madhya Pradesh,630.0
1960-61,Uttar Pradesh,Large,14.4,gdp_share in percentage,,1960,Uttar Pradesh,Uttar Pradesh,1440.0
