Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year,state_raw,state_canonical,election_year_clean
Chidambaram,195,GEN,Madras,R. Kangagosabai,Indian National Congress,457267.0,327065.0,71.5,4060.0,1.2,1962.0,Madras,Tamil Nadu,1962
Chikballapur,289,GEN,Mysore,K. Changalaraya Reddy,Indian National Congress,450873.0,269677.0,59.8,51515.0,19.1,1962.0,Mysore,Karnataka,1962
Chikodi,274,GEN,Mysore,Vasantrao Lakhagounda Patil,Indian National Congress,396721.0,254055.0,64.0,86776.0,34.2,1962.0,Mysore,Karnataka,1962
Chingleput,188,GEN,Madras,O. V. Alagesan,Indian National Congress,429553.0,332465.0,77.4,19878.0,6.0,1962.0,Madras,Tamil Nadu,1962
Chirayinkil,147,GEN,Kerala,M. K. Kumaran,Communist Party Of India,437189.0,311762.0,71.3,33219.0,10.7,1962.0,Kerala,Kerala,1962
Chitradurga,282,GEN,Mysore,S. Veerabasappa,Indian National Congress,502170.0,330704.0,65.9,44849.0,13.6,1962.0,Mysore,Karnataka,1962
Chittor,22,GEN,Andhra Pradesh,Madabhusi Ananthasayanam Ayyangar,Indian National Congress,437788.0,296142.0,67.7,23964.0,8.1,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Chittorgarh,350,GEN,Rajasthan,Manikyalal,Indian National Congress,423187.0,179397.0,42.4,20022.0,11.2,1962.0,Rajasthan,Rajasthan,1962
Coimbatore,205,GEN,Madras,P. R. Ramakrishnan,Indian National Congress,509869.0,398104.0,78.1,42561.0,10.7,1962.0,Madras,Tamil Nadu,1962
Contai,471,GEN,West Bengal,Basanta Kumar Das,Indian National Congress,513853.0,332199.0,64.7,85408.0,25.7,1962.0,West Bengal,West Bengal,1962
Cooch Behar,446,SC,West Bengal,Debendra Nath Karjee,Forward Block,533835.0,259577.0,48.6,31760.0,12.2,1962.0,West Bengal,West Bengal,1962
Cuddalore,194,GEN,Madras,T. Ramabadra Naidu,Dravida Munetra Kazhagam,479031.0,324795.0,67.8,35387.0,10.9,1962.0,Madras,Tamil Nadu,1962
Cuddapah,24,GEN,Andhra Pradesh,Yeddula Eswara Reddy,Communist Party Of India,497180.0,371945.0,74.8,20867.0,5.6,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Cuttack,310,GEN,Orissa,Nityanand Kanungo,Indian National Congress,484807.0,162723.0,33.6,23953.0,14.7,1962.0,Orissa,Odisha,1962
Dahod,125,SC,Gujarat,Hirabhai Kunverbhai Baria,Swatantra,443761.0,250518.0,56.5,4413.0,1.8,1962.0,Gujarat,Gujarat,1962
Daimond Harbour,460,GEN,West Bengal,Sudhanshu Bhushan Das,Indian National Congress,582113.0,328720.0,56.5,19140.0,5.8,1962.0,West Bengal,West Bengal,1962
Damoh,171,SC,Madhya Pradesh [1947 - 1999],Sahodra Bai,Indian National Congress,419223.0,196144.0,46.8,27975.0,14.3,1962.0,Madhya Pradesh [1947 - 1999],Madhya Pradesh [1947 - 1999],1962
Darbhanga,72,GEN,Bihar [1947 - 1999],Shree Narayan Das,Indian National Congress,487848.0,201729.0,41.4,60337.0,29.9,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Darjeeling,448,GEN,West Bengal,T. Manaen,Indian National Congress,421110.0,197796.0,47.0,8427.0,4.3,1962.0,West Bengal,West Bengal,1962
Darrang,51,GEN,Assam,Bijoy Chandra Bhagabati,Indian National Congress,378754.0,212851.0,56.2,95796.0,45.0,1962.0,Assam,Assam,1962
Dausa,341,GEN,Rajasthan,Prithvi Raj,Swatantra,418962.0,250386.0,59.8,89696.0,35.8,1962.0,Rajasthan,Rajasthan,1962
Dehra Dun,445,GEN,Uttar Pradesh [1947 - 1999],Mahavir Tyagi,Indian National Congress,404429.0,247623.0,61.2,74392.0,30.0,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Delhi Sadar,484,GEN,Delhi,Shiv Charan Gupta,Indian National Congress,234520.0,167274.0,71.3,23534.0,14.1,1962.0,Delhi,Delhi,1962
Deoria,401,GEN,Uttar Pradesh [1947 - 1999],Vaishwanath,Indian National Congress,415334.0,208199.0,50.1,19241.0,9.2,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Dewas,180,SC,Madhya Pradesh [1947 - 1999],Hukumchand,Jan Sangh,438964.0,240615.0,54.8,7149.0,3.0,1962.0,Madhya Pradesh [1947 - 1999],Madhya Pradesh [1947 - 1999],1962
Dhanbad,101,GEN,Bihar [1947 - 1999],P. R. Chakravarti,Indian National Congress,451555.0,207276.0,45.9,24206.0,11.7,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Dharwar North,278,GEN,Mysore,Sarojini Bindurao Mahishi,Indian National Congress,439047.0,275322.0,62.7,153550.0,55.8,1962.0,Mysore,Karnataka,1962
Dharwar South,277,GEN,Mysore,Fakruddin Husseinsab Mohasin,Indian National Congress,419192.0,281286.0,67.1,75240.0,26.7,1962.0,Mysore,Karnataka,1962
Dhenkanal,306,GEN,Orissa,Baishnab Charan Patnaik,Indian National Congress,439926.0,135057.0,30.7,52288.0,38.7,1962.0,Orissa,Odisha,1962
Dhubri,47,GEN,Assam,Mau Ghysuddin Ahammad,Indian National Congress,391360.0,219296.0,56.0,27516.0,12.5,1962.0,Assam,Assam,1962
Dhulia,250,GEN,Maharashtra,Chudaman Ananda Ravandale,Indian National Congress,467691.0,282407.0,60.4,94855.0,33.6,1962.0,Maharashtra,Maharashtra,1962
Dibrugarh,55,GEN,Assam,Jogendra Nath Hazarika,Indian National Congress,390564.0,181805.0,46.6,56830.0,31.3,1962.0,Assam,Assam,1962
Dindigul,210,GEN,Madras,T. S. Soundaram Ramachandram,Indian National Congress,461145.0,331580.0,71.9,53653.0,16.2,1962.0,Madras,Tamil Nadu,1962
Domariaganj,395,GEN,Uttar Pradesh [1947 - 1999],Kripa Shanker,Indian National Congress,416674.0,217578.0,52.2,1579.0,0.7,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Dumka,81,ST,Bihar [1947 - 1999],Satya Chandra Besra,Indian National Congress,399218.0,140848.0,35.3,1085.0,0.8,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Durg,167,GEN,Madhya Pradesh [1947 - 1999],Mohanlal Bakliwal,Indian National Congress,519964.0,225832.0,43.4,28868.0,12.8,1962.0,Madhya Pradesh [1947 - 1999],Madhya Pradesh [1947 - 1999],1962
Eluru,11,GEN,Andhra Pradesh,Viramachaneni Vimaladevi,Communist Party Of India,470098.0,343907.0,73.2,1469.0,0.4,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Ernakulam,140,GEN,Kerala,A. M. Thomas,Indian National Congress,455280.0,363493.0,79.8,23399.0,6.4,1962.0,Kerala,Kerala,1962
Erode,202,GEN,Madras,Paramasiva Gounder,Indian National Congress,478370.0,352663.0,73.7,39178.0,11.1,1962.0,Madras,Tamil Nadu,1962
Etah,430,GEN,Uttar Pradesh [1947 - 1999],Bishan Chandra Seth,Akhil Bharatiya Hindu Mahasabha,419948.0,237064.0,56.5,10614.0,4.5,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Etawah,426,GEN,Uttar Pradesh [1947 - 1999],Gopi Nath Dikshit,Indian National Congress,425674.0,246979.0,58.0,3139.0,1.3,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Faizabad,387,GEN,Uttar Pradesh [1947 - 1999],Brij Basi Lal,Indian National Congress,399568.0,198370.0,49.7,10852.0,5.5,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Farrukhabad,427,GEN,Uttar Pradesh [1947 - 1999],Mul Chand,Indian National Congress,475245.0,249045.0,52.4,14278.0,5.7,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
