fiscal_year,state,state_size,gdp_share,unit,notes
2010-11,Uttar Pradesh,Large,9.9,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together
2010-11,Uttarakhand,Large,1.2,gdp_share in percentage,
2010-11,West Bengal,Large,6.7,gdp_share in percentage,
2010-11,Andaman and Nicobar Islands,Small,0.06,gdp_share in percentage,
2010-11,Arunachal Pradesh,Small,0.1,gdp_share in percentage,
2010-11,Chandigarh,Small,0.3,gdp_share in percentage,
2010-11,Goa,Small,0.5,gdp_share in percentage,
2010-11,Himachal Pradesh,Small,0.8,gdp_share in percentage,
2010-11,Jammu and Kashmir,Small,0.8,gdp_share in percentage,
2010-11,Manipur,Small,0.1,gdp_share in percentage,
2010-11,Meghalaya,Small,0.2,gdp_share in percentage,
2010-11,Mizoram,Small,0.1,gdp_share in percentage,
2010-11,Nagaland,Small,0.2,gdp_share in percentage,
2010-11,Puducherry,Small,0.2,gdp_share in percentage,
2010-11,Sikkim,Small,0.1,gdp_share in percentage,
2010-11,Tripura,Small,0.3,gdp_share in percentage,
2010-11,Andhra Pradesh,Large,4.6,gdp_share in percentage,
2010-11,Bihar,Large,2.9,gdp_share in percentage,
2010-11,Madhya Pradesh,Large,3.8,gdp_share in percentage,
2010-11,Uttar Pradesh,Large,8.7,gdp_share in percentage,
2000-01,Andhra Pradesh,Large,8.2,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together
2000-01,Assam,Large,1.9,gdp_share in percentage,
2000-01,Bihar,Large,4.4,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together
2000-01,Chhattisgarh,Large,1.5,gdp_share in percentage,
2000-01,Delhi,Large,3.7,gdp_share in percentage,
2000-01,Gujarat,Large,6.4,gdp_share in percentage,
2000-01,Haryana,Large,3.2,gdp_share in percentage,
2000-01,Jharkhand,Large,1.7,gdp_share in percentage,
2000-01,Karnataka,Large,6.2,gdp_share in percentage,
